FeatureCode,DateCode,Measurement,Units,Value,Industry Sector (SIC 07),Export Destination
S92000003,2010,Count,million pounds (GBP),1365,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2006,Count,million pounds (GBP),7260,"Wholesale, Retail and Repairs (Section G)",Total
S92000003,2015,Count,million pounds (GBP),1745,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2004,Count,million pounds (GBP),1095,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2011,Count,million pounds (GBP),1595,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2012,Count,million pounds (GBP),1850,"Wholesale, Retail and Repairs (Section G)",International
S92000003,2005,Count,million pounds (GBP),405,Real Estate Activities (Section L),Total
S92000003,2002,Count,million pounds (GBP),175,Real Estate Activities (Section L),Total
S92000003,2007,Count,million pounds (GBP),20,Real Estate Activities (Section L),EU
S92000003,2005,Count,million pounds (GBP),5,Real Estate Activities (Section L),Non-EU
S92000003,2015,Count,million pounds (GBP),45,Real Estate Activities (Section L),Non-EU
S92000003,2016,Count,million pounds (GBP),245,Real Estate Activities (Section L),Total
S92000003,2012,Count,million pounds (GBP),350,Real Estate Activities (Section L),Total
S92000003,2004,Count,million pounds (GBP),235,Real Estate Activities (Section L),Total
S92000003,2015,Count,million pounds (GBP),30,Real Estate Activities (Section L),EU
S92000003,2002,Count,million pounds (GBP),10,Real Estate Activities (Section L),EU
S92000003,2015,Count,million pounds (GBP),75,Real Estate Activities (Section L),International
S92000003,2011,Count,million pounds (GBP),40,Real Estate Activities (Section L),International
S92000003,2002,Count,million pounds (GBP),10,Real Estate Activities (Section L),Non-EU
S92000003,2008,Count,million pounds (GBP),45,Real Estate Activities (Section L),International
S92000003,2005,Count,million pounds (GBP),20,Real Estate Activities (Section L),International
S92000003,2003,Count,million pounds (GBP),45,Real Estate Activities (Section L),International
S92000003,2002,Count,million pounds (GBP),20,Real Estate Activities (Section L),International
S92000003,2008,Count,million pounds (GBP),20,Real Estate Activities (Section L),Non-EU
S92000003,2014,Count,million pounds (GBP),40,Real Estate Activities (Section L),EU
S92000003,2014,Count,million pounds (GBP),25,Real Estate Activities (Section L),Non-EU
S92000003,2017,Count,million pounds (GBP),75,Real Estate Activities (Section L),International
S92000003,2014,Count,million pounds (GBP),365,Real Estate Activities (Section L),Total
S92000003,2015,Count,million pounds (GBP),285,Real Estate Activities (Section L),Total
S92000003,2016,Count,million pounds (GBP),30,Real Estate Activities (Section L),Non-EU
S92000003,2004,Count,million pounds (GBP),5,Real Estate Activities (Section L),Non-EU
S92000003,2017,Count,million pounds (GBP),55,Real Estate Activities (Section L),Non-EU
S92000003,2011,Count,million pounds (GBP),20,Real Estate Activities (Section L),Non-EU
S92000003,2009,Count,million pounds (GBP),360,Real Estate Activities (Section L),Total
S92000003,2010,Count,million pounds (GBP),300,Real Estate Activities (Section L),Total
S92000003,2006,Count,million pounds (GBP),465,Real Estate Activities (Section L),Total
S92000003,2017,Count,million pounds (GBP),245,Real Estate Activities (Section L),Total
S92000003,2003,Count,million pounds (GBP),190,Real Estate Activities (Section L),Total
S92000003,2007,Count,million pounds (GBP),245,Real Estate Activities (Section L),Total
S92000003,2008,Count,million pounds (GBP),240,Real Estate Activities (Section L),Total
S92000003,2011,Count,million pounds (GBP),380,Real Estate Activities (Section L),Total
S92000003,2006,Count,million pounds (GBP),25,Real Estate Activities (Section L),Non-EU
S92000003,2013,Count,million pounds (GBP),20,Real Estate Activities (Section L),Non-EU
S92000003,2003,Count,million pounds (GBP),10,Real Estate Activities (Section L),Non-EU
S92000003,2002,Count,million pounds (GBP),155,Real Estate Activities (Section L),Rest of UK
S92000003,2009,Count,million pounds (GBP),300,Real Estate Activities (Section L),Rest of UK
S92000003,2015,Count,million pounds (GBP),210,Real Estate Activities (Section L),Rest of UK
S92000003,2010,Count,million pounds (GBP),25,Real Estate Activities (Section L),Non-EU
S92000003,2012,Count,million pounds (GBP),20,Real Estate Activities (Section L),EU
S92000003,2017,Count,million pounds (GBP),170,Real Estate Activities (Section L),Rest of UK
S92000003,2010,Count,million pounds (GBP),25,Real Estate Activities (Section L),EU
S92000003,2009,Count,million pounds (GBP),30,Real Estate Activities (Section L),EU
S92000003,2008,Count,million pounds (GBP),195,Real Estate Activities (Section L),Rest of UK
S92000003,2011,Count,million pounds (GBP),340,Real Estate Activities (Section L),Rest of UK
S92000003,2014,Count,million pounds (GBP),300,Real Estate Activities (Section L),Rest of UK
S92000003,2017,Count,million pounds (GBP),20,Real Estate Activities (Section L),EU
S92000003,2013,Count,million pounds (GBP),30,Real Estate Activities (Section L),EU
S92000003,2009,Count,million pounds (GBP),25,Real Estate Activities (Section L),Non-EU
S92000003,2007,Count,million pounds (GBP),215,Real Estate Activities (Section L),Rest of UK
S92000003,2013,Count,million pounds (GBP),565,Real Estate Activities (Section L),Rest of UK
S92000003,2005,Count,million pounds (GBP),380,Real Estate Activities (Section L),Rest of UK
S92000003,2004,Count,million pounds (GBP),20,Real Estate Activities (Section L),International
S92000003,2010,Count,million pounds (GBP),250,Real Estate Activities (Section L),Rest of UK
S92000003,2008,Count,million pounds (GBP),25,Real Estate Activities (Section L),EU
S92000003,2010,Count,million pounds (GBP),50,Real Estate Activities (Section L),International
S92000003,2016,Count,million pounds (GBP),195,Real Estate Activities (Section L),Rest of UK
S92000003,2007,Count,million pounds (GBP),35,Real Estate Activities (Section L),International
S92000003,2016,Count,million pounds (GBP),50,Real Estate Activities (Section L),International
S92000003,2005,Count,million pounds (GBP),15,Real Estate Activities (Section L),EU
S92000003,2013,Count,million pounds (GBP),45,Real Estate Activities (Section L),International
S92000003,2012,Count,million pounds (GBP),20,Real Estate Activities (Section L),Non-EU
S92000003,2007,Count,million pounds (GBP),15,Real Estate Activities (Section L),Non-EU
S92000003,2003,Count,million pounds (GBP),145,Real Estate Activities (Section L),Rest of UK
S92000003,2004,Count,million pounds (GBP),215,Real Estate Activities (Section L),Rest of UK
S92000003,2006,Count,million pounds (GBP),430,Real Estate Activities (Section L),Rest of UK
S92000003,2012,Count,million pounds (GBP),310,Real Estate Activities (Section L),Rest of UK
S92000003,2006,Count,million pounds (GBP),35,Real Estate Activities (Section L),International
S92000003,2009,Count,million pounds (GBP),55,Real Estate Activities (Section L),International
S92000003,2012,Count,million pounds (GBP),40,Real Estate Activities (Section L),International
S92000003,2014,Count,million pounds (GBP),65,Real Estate Activities (Section L),International
S92000003,2003,Count,million pounds (GBP),35,Real Estate Activities (Section L),EU
S92000003,2004,Count,million pounds (GBP),15,Real Estate Activities (Section L),EU
S92000003,2011,Count,million pounds (GBP),20,Real Estate Activities (Section L),EU
S92000003,2013,Count,million pounds (GBP),610,Real Estate Activities (Section L),Total
S92000003,2006,Count,million pounds (GBP),10,Real Estate Activities (Section L),EU
S92000003,2016,Count,million pounds (GBP),20,Real Estate Activities (Section L),EU
S92000003,2013,Count,million pounds (GBP),390,Administrative and Support Services (Section N),EU
S92000003,2002,Count,million pounds (GBP),125,Administrative and Support Services (Section N),EU
